d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,id_asenta_cpcons
83104,Lomas de Linda Vista,Colonia,Hermosillo,Sonora,Hermosillo,505
83104,Margaritas Olivos,Colonia,Hermosillo,Sonora,Hermosillo,2133
83104,Firenze Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2134
83104,Alborada,Colonia,Hermosillo,Sonora,Hermosillo,2137
83104,Palermo Sección Veneto,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2253
83104,Palermo Sección Partanna,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3224
83104,Palermo Sección Ferrara,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3320
83105,Jacinto López,Colonia,Hermosillo,Sonora,Hermosillo,42
83105,Residencial la Cima,Fraccionamiento,Hermosillo,Sonora,Hermosillo,134
83105,Residencial la Cima II,Fraccionamiento,Hermosillo,Sonora,Hermosillo,288
83105,Granada,Fraccionamiento,Hermosillo,Sonora,Hermosillo,327
83105,Guayacán,Colonia,Hermosillo,Sonora,Hermosillo,364
83105,Caperuzo,Fraccionamiento,Hermosillo,Sonora,Hermosillo,440
83105,4 de Marzo,Colonia,Hermosillo,Sonora,Hermosillo,460
83105,El Cortijo,Fraccionamiento,Hermosillo,Sonora,Hermosillo,467
83105,Haciendas Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,477
83105,La Caridad,Fraccionamiento,Hermosillo,Sonora,Hermosillo,484
83105,Nuevo Horizonte,Fraccionamiento,Hermosillo,Sonora,Hermosillo,536
83105,Paseo de las Palmas,Fraccionamiento,Hermosillo,Sonora,Hermosillo,539
83105,Villas del Palmar,Colonia,Hermosillo,Sonora,Hermosillo,598
83105,Rincón Agradable,Colonia,Hermosillo,Sonora,Hermosillo,2145
83105,San Sebastián,Colonia,Hermosillo,Sonora,Hermosillo,2148
83105,Cerrada de la Capilla,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2225
83105,Cortijo Periodista,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2727
83105,Retorno de la Misión,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2728
83105,Cerrada la Caridad,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3261
83105,Lomas del Norte,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3319
83106,Insurgentes,Colonia,Hermosillo,Sonora,Hermosillo,43
83106,Monterosa Hábitat Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,96
83106,Cárdeno Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,239
83106,Vista Azul,Fraccionamiento,Hermosillo,Sonora,Hermosillo,267
83106,La Mirada Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,302
83106,Alto Valle,Fraccionamiento,Hermosillo,Sonora,Hermosillo,429
83106,Los Ángeles,Fraccionamiento,Hermosillo,Sonora,Hermosillo,509
83106,Rincón de Palmas,Fraccionamiento,Hermosillo,Sonora,Hermosillo,560
83106,Villa Colonial,Colonia,Hermosillo,Sonora,Hermosillo,592
83106,Villa Dorada,Fraccionamiento,Hermosillo,Sonora,Hermosillo,595
83106,Villas de Cortés,Colonia,Hermosillo,Sonora,Hermosillo,597
83106,Villa Guadalupe,Colonia,Hermosillo,Sonora,Hermosillo,1692
83106,Villa Sonora,Colonia,Hermosillo,Sonora,Hermosillo,1693
83106,Villas del Cortijo,Colonia,Hermosillo,Sonora,Hermosillo,1704
83106,Heberto Castillo,Colonia,Hermosillo,Sonora,Hermosillo,2138
83106,Villa del Rey,Colonia,Hermosillo,Sonora,Hermosillo,2139
83106,Privadas del Mirador,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2239
83106,Privada Mixcoac,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2262
83106,Las Vistas,Colonia,Hermosillo,Sonora,Hermosillo,2861
83106,Cerrada Coronado,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2964
83106,Misión de Andalucía Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2970
83106,Banus,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2971
83106,Andalucía Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3234
83106,Antara Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3260
83106,Villa Colonial II,Colonia,Hermosillo,Sonora,Hermosillo,3287
83107,Altaria Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,238
83107,Bilbao,Fraccionamiento,Hermosillo,Sonora,Hermosillo,246
83107,Paseo del Cid Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,294
83107,Montalbán Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,295
83107,Catania Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,304
83107,La Caridad,Fraccionamiento,Hermosillo,Sonora,Hermosillo,305
83107,Canteras Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,329
83107,Altaria Norte,Fraccionamiento,Hermosillo,Sonora,Hermosillo,362
83107,Urbi Villa del Cedro,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3218
83107,Urbi Alameda los Fresnos Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,4400
83107,Bella Vista,Ranchería,Hermosillo,Sonora,,6210
83107,La Reforma,Ranchería,Hermosillo,Sonora,,6963
83108,Puerta Norte,Fraccionamiento,Hermosillo,Sonora,Hermosillo,270
83108,Pomona Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,324
83108,Verandah,Fraccionamiento,Hermosillo,Sonora,Hermosillo,401
83110,Benito Juárez,Colonia,Hermosillo,Sonora,Hermosillo,44
83110,Mártires de Cananea,Colonia,Hermosillo,Sonora,Hermosillo,45
83113,Jardines,Colonia,Hermosillo,Sonora,Hermosillo,46
83113,Conjunto Arizona,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2218
83114,Eusebio Kino,Colonia,Hermosillo,Sonora,Hermosillo,47
83114,Velas Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,220
83114,San Luis Rey,Fraccionamiento,Hermosillo,Sonora,Hermosillo,571
83114,Santa Bárbara,Colonia,Hermosillo,Sonora,Hermosillo,2141
83114,Villas Residencial,Colonia,Hermosillo,Sonora,Hermosillo,2144
83114,Milán Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2261
83114,Villa California Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2273
83114,Lomas de Reforma,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2275
83114,Aranjuez Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3212
83115,Carmen Serdán,Colonia,Hermosillo,Sonora,Hermosillo,48
83115,El Cortijo UNISON,Colonia,Hermosillo,Sonora,Hermosillo,1695
83116,Primero Hermosillo,Colonia,Hermosillo,Sonora,Hermosillo,49
83116,Montesinos,Fraccionamiento,Hermosillo,Sonora,Hermosillo,260
83116,Norberto Ortega,Colonia,Hermosillo,Sonora,Hermosillo,529
83116,Real del Cobre,Fraccionamiento,Hermosillo,Sonora,Hermosillo,553
83116,Solidaridad,Colonia,Hermosillo,Sonora,Hermosillo,574
83116,Manuel Gómez Morín,Colonia,Hermosillo,Sonora,Hermosillo,1668
83116,Nueva Victoria,Colonia,Hermosillo,Sonora,Hermosillo,1670
83116,Valle del Portal,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1671
83116,Real del Cardo,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2195
83116,La Campiña,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2263
83116,Villa Merlot Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2957
83116,Tierra Colorada,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3144
83116,Miguel Ángel Jiménez,Colonia,Hermosillo,Sonora,Hermosillo,3232
83116,Francisco Romero,Colonia,Hermosillo,Sonora,Hermosillo,3246
83116,Unión de Ladrilleros Manuel Dorado,Ranchería,Hermosillo,Sonora,,7745
83117,Miguel Hidalgo,Colonia,Hermosillo,Sonora,Hermosillo,50
83117,Alondras Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,237
83117,Monarca Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,269
83117,Villa Bonita,Colonia,Hermosillo,Sonora,Hermosillo,297
83117,Villas de San Lorenzo,Fraccionamiento,Hermosillo,Sonora,Hermosillo,298
83117,Valladolid Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,333
83117,El Encanto,Colonia,Hermosillo,Sonora,Hermosillo,469
83117,Los Manantiales,Colonia,Hermosillo,Sonora,Hermosillo,512
83117,Pilares,Fraccionamiento,Hermosillo,Sonora,Hermosillo,544
83117,Privadas del Bosque,Colonia,Hermosillo,Sonora,Hermosillo,1666
83117,Tubac,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1683
83117,Pueblo Bonito,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1688
83117,Pueblo del Oro,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1689
83117,Opatas,Colonia,Hermosillo,Sonora,Hermosillo,2198
83117,Cerrada Pimas,Colonia,Hermosillo,Sonora,Hermosillo,2200
83117,Cerrada Diamante,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2738
83117,Palo Fierro,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2739
83117,Torreplata Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2968
83117,Romanza Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2969
83117,Pueblitos Cerrada Kikapu,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3238
83117,Pueblitos Cerrada Kukapa,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3239
83117,Pueblitos Cerrada Papagos,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3240
83117,Pueblitos Cerrada Guarijios,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3241
83117,Privadas del Sauce,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3259
83117,Los Pinos Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3277
83117,Bicentenario Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3367
83117,Portal de Romanza Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3381
83117,Villas de Romanza,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3388
83117,Miguel Valencia,Colonia,Hermosillo,Sonora,Hermosillo,7795
83118,Parque Industrial de Hermosillo Norte,Zona industrial,Hermosillo,Sonora,Hermosillo,145
83118,Parque Central,Fraccionamiento,Hermosillo,Sonora,Hermosillo,221
83118,Natura,Fraccionamiento,Hermosillo,Sonora,Hermosillo,228
83118,Torralba Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,234
83118,Privadas del Rey,Fraccionamiento,Hermosillo,Sonora,Hermosillo,249
83118,Jardín Real Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,274
83118,Monteregio Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,301
83118,Cerro Colorado,Fraccionamiento,Hermosillo,Sonora,Hermosillo,313
83118,Torre de Piedra,Fraccionamiento,Hermosillo,Sonora,Hermosillo,314
83118,Cantabria,Fraccionamiento,Hermosillo,Sonora,Hermosillo,339
83118,Privadas Santa Clara,Fraccionamiento,Hermosillo,Sonora,Hermosillo,352
83118,Salvatierra,Colonia,Hermosillo,Sonora,Hermosillo,354
83118,Real de Palmas,Fraccionamiento,Hermosillo,Sonora,Hermosillo,358
83118,Valle Natura,Fraccionamiento,Hermosillo,Sonora,Hermosillo,359
83118,Málaga,Fraccionamiento,Hermosillo,Sonora,Hermosillo,360
83118,Navarra,Fraccionamiento,Hermosillo,Sonora,Hermosillo,361
83118,Parque Industrial del Desierto,Zona industrial,Hermosillo,Sonora,Hermosillo,395
83118,Nuevo Desierto,Colonia,Hermosillo,Sonora,Hermosillo,402
83118,Arándanos Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,430
83118,Villa del Real,Fraccionamiento,Hermosillo,Sonora,Hermosillo,594
83118,Tumacacori,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1682
83118,La Lengueta,Colonia,Hermosillo,Sonora,Hermosillo,1684
83118,Miniparque Industrial,Zona industrial,Hermosillo,Sonora,Hermosillo,1685
83118,Privadas del Real,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1686
83118,Pueblo Alegre,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1687
83118,Pueblo Escondido,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1690
83118,Jorge Valdéz Muñoz,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2196
83118,Privada San Germán,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2267
83118,Pueblo del Sol,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2268
83118,Villa Verde,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2270
83118,Pueblo del Ángel,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2271
83118,Pueblitos Sección los Álamos,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2297
83118,Villas de Turin,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2849
83118,Laura Alicia Frías de López Nogales,Colonia,Hermosillo,Sonora,Hermosillo,2864
83118,Tierra Nueva,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2948
83118,Casalta Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2967
83118,Córdoba Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3296
83118,Paseos del Pedregal,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3335
83118,Fuente de Piedra,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3384
83118,Puerta del Rey,Fraccionamiento,Hermosillo,Sonora,Hermosillo,4405
83120,Las Isabeles,Colonia,Hermosillo,Sonora,Hermosillo,51
83120,Progresista,Colonia,Hermosillo,Sonora,Hermosillo,52
83120,Unión de Colonos,Colonia,Hermosillo,Sonora,Hermosillo,53
83120,Machi López,Colonia,Hermosillo,Sonora,Hermosillo,521
83120,Misión del Arco,Fraccionamiento,Hermosillo,Sonora,Hermosillo,524
83120,Misioneros,Colonia,Hermosillo,Sonora,Hermosillo,528
83120,Plaza Real,Fraccionamiento,Hermosillo,Sonora,Hermosillo,546
83120,Virreyes,Colonia,Hermosillo,Sonora,Hermosillo,600
83120,H Ayuntamiento,Colonia,Hermosillo,Sonora,Hermosillo,1660
83120,Los Viñedos,Colonia,Hermosillo,Sonora,Hermosillo,1661
83125,Villa Fontana,Colonia,Hermosillo,Sonora,Hermosillo,54
83125,Plaza Grande,Fraccionamiento,Hermosillo,Sonora,Hermosillo,545
83125,Misión San Jerónimo,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1678
83126,Conquistadores,Colonia,Hermosillo,Sonora,Hermosillo,55
83126,Cerro Colorado,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1663
83126,Nueva Castilla,Colonia,Hermosillo,Sonora,Hermosillo,1669
83128,San Javier,Colonia,Hermosillo,Sonora,Hermosillo,57
83130,Libertad,Colonia,Hermosillo,Sonora,Hermosillo,60
83130,Santa Isabel,Colonia,Hermosillo,Sonora,Hermosillo,61
83136,Choyal,Colonia,Hermosillo,Sonora,Hermosillo,59
83136,Puesta del Sol,Colonia,Hermosillo,Sonora,Hermosillo,63
83137,Las Flores,Colonia,Hermosillo,Sonora,Hermosillo,64
83137,Cuartel Zona,Colonia,Hermosillo,Sonora,Hermosillo,1659
83138,Luis Encinas,Colonia,Hermosillo,Sonora,Hermosillo,65
83138,Santa María,Colonia,Hermosillo,Sonora,Hermosillo,66
83138,Bellavista,Fraccionamiento,Hermosillo,Sonora,Hermosillo,435
83138,Sonomex,Colonia,Hermosillo,Sonora,Hermosillo,1662
83139,ISSSTESON Norte,Colonia,Hermosillo,Sonora,Hermosillo,67
83139,Las Torres,Colonia,Hermosillo,Sonora,Hermosillo,68
83140,Bugambilia,Colonia,Hermosillo,Sonora,Hermosillo,70
83140,Jesús García,Colonia,Hermosillo,Sonora,Hermosillo,72
83140,Los Rosales,Colonia,Hermosillo,Sonora,Hermosillo,74
83140,Plaza Inn,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2735
83143,Ibiza Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,251
83143,Residencial la Cañada,Fraccionamiento,Hermosillo,Sonora,Hermosillo,287
83143,Andares,Fraccionamiento,Hermosillo,Sonora,Hermosillo,326
83143,Cerrada Cucurpe,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1696
83143,Cumbres Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1697
83143,Cucurpe II,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3151
83143,Del Pedregal Privadas Residenciales,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3153
83144,Sacramento Residencial,Colonia,Hermosillo,Sonora,Hermosillo,75
83145,Colinas,Colonia,Hermosillo,Sonora,Hermosillo,76
83145,Catalinas Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,447
83145,Zona Militar Cuartel XV,Zona militar,Hermosillo,Sonora,Hermosillo,459
83145,Terrazas Del Mirador,Fraccionamiento,Hermosillo,Sonora,Hermosillo,582
83145,Santa Lucía,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2458
83145,Privada Victoria,Colonia,Hermosillo,Sonora,Hermosillo,2758
83145,Vista del Sol Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3251
83146,Los Sabinos,Colonia,Hermosillo,Sonora,Hermosillo,77
83146,La Rioja Norte,Fraccionamiento,Hermosillo,Sonora,Hermosillo,262
83146,La Paloma Residencial I,Fraccionamiento,Hermosillo,Sonora,Hermosillo,450
83146,Cumbres Residencial III,Colonia,Hermosillo,Sonora,Hermosillo,2126
83146,Quinta la Paloma,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2862
83146,Puerta de Hierro,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2863
83146,La Paloma Residencial II,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3150
83146,Colinas de San Javier,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3152
83147,Cuatro Olivos,Colonia,Hermosillo,Sonora,Hermosillo,78
83147,Paseo de las Margaritas,Fraccionamiento,Hermosillo,Sonora,Hermosillo,522
83147,Rosario Ibarra de Piedra,Colonia,Hermosillo,Sonora,Hermosillo,561
83147,Sierra Blanca,Fraccionamiento,Hermosillo,Sonora,Hermosillo,572
83147,Sierra Vista,Fraccionamiento,Hermosillo,Sonora,Hermosillo,573
83148,Bachoco,Colonia,Hermosillo,Sonora,Hermosillo,79
83148,Colina Blanca,Colonia,Hermosillo,Sonora,Hermosillo,80
83148,Torre Santa Mónica,Condominio,Hermosillo,Sonora,Hermosillo,398
83148,Residencial Bretaña,Fraccionamiento,Hermosillo,Sonora,Hermosillo,436
83148,El Dorado,Fraccionamiento,Hermosillo,Sonora,Hermosillo,451
83148,Pueblo Alto Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,551
83148,La Ventana,Fraccionamiento,Hermosillo,Sonora,Hermosillo,589
83148,Loreto,Colonia,Hermosillo,Sonora,Hermosillo,1700
83148,Arcadia,Colonia,Hermosillo,Sonora,Hermosillo,2123
83148,Portón del Arco,Colonia,Hermosillo,Sonora,Hermosillo,2124
83148,Paseo de la Colina,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2256
83148,Villa Toscana Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2762
83148,Tosali Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2949
83149,Francisco Villa,Colonia,Hermosillo,Sonora,Hermosillo,81
83150,Constitución,Colonia,Hermosillo,Sonora,Hermosillo,82
83150,Loma Linda,Colonia,Hermosillo,Sonora,Hermosillo,83
83150,Pitic,Colonia,Hermosillo,Sonora,Hermosillo,84
83156,Periodista,Colonia,Hermosillo,Sonora,Hermosillo,87
83156,Caserío Solar,Colonia,Hermosillo,Sonora,Hermosillo,3158
83157,ISSSTE Federal,Colonia,Hermosillo,Sonora,Hermosillo,88
83159,Lomas Altas,Colonia,Hermosillo,Sonora,Hermosillo,90
83159,La Jolla Villa Turquesa,Fraccionamiento,Hermosillo,Sonora,Hermosillo,281
83159,La Jolla Villa de las Perlas,Fraccionamiento,Hermosillo,Sonora,Hermosillo,338
83159,La Jolla Villa de los Diamantes,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2743
83159,La Jolla Villa de los Zafiros,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2744
83159,La Jolla Villa de las Esmeraldas,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2756
83159,Las Lomas del Pitic,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3015
83159,Cuartel Pitic,Colonia,Hermosillo,Sonora,Hermosillo,3235
83160,San Luis,Colonia,Hermosillo,Sonora,Hermosillo,91
83160,Parque Industrial Pimex,Colonia,Hermosillo,Sonora,Hermosillo,2116
83165,La Ponderosa,Colonia,Hermosillo,Sonora,Hermosillo,381
83165,Café Combate,Colonia,Hermosillo,Sonora,Hermosillo,1706
83165,Guadalupe,Rancho,Hermosillo,Sonora,,7317
83166,Santerra,Fraccionamiento,Hermosillo,Sonora,Hermosillo,244
83166,Rancho San Ignacio,Fraccionamiento,Hermosillo,Sonora,Hermosillo,259
83166,Ventura Residential Club,Fraccionamiento,Hermosillo,Sonora,Hermosillo,306
83166,Hacienda Residencial Condominal,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2772
83166,Block Mexicano de Tacupeto,Equipamiento,Hermosillo,Sonora,,6220
83166,La Escopeta (Los Guayacanes),Ranchería,Hermosillo,Sonora,,6850
83166,Postería DARESA,Equipamiento,Hermosillo,Sonora,,7276
83166,Sociedad Cooperativa Veinticuatro de Febrero,Ranchería,Hermosillo,Sonora,,7703
83166,Valenzuela Hermanos,Ranchería,Hermosillo,Sonora,,7749
83170,Adolfo López Mateos,Colonia,Hermosillo,Sonora,Hermosillo,93
83170,Álvaro Obregón,Colonia,Hermosillo,Sonora,Hermosillo,94
83170,Mirasoles,Colonia,Hermosillo,Sonora,Hermosillo,97
83170,Antonio Parada Cano,Colonia,Hermosillo,Sonora,Hermosillo,98
83170,22 de Septiembre,Colonia,Hermosillo,Sonora,Hermosillo,99
83170,Nueva España,Fraccionamiento,Hermosillo,Sonora,Hermosillo,531
83170,Privada de los Azulejos,Colonia,Hermosillo,Sonora,Hermosillo,1655
83170,Internacional,Colonia,Hermosillo,Sonora,Hermosillo,1677
83170,Nueva Palmira Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,1681
83170,Las Plazas,Colonia,Hermosillo,Sonora,Hermosillo,2188
83170,San Bernardino,Colonia,Hermosillo,Sonora,Hermosillo,2190
83171,Sahuaro Indeco,Colonia,Hermosillo,Sonora,Hermosillo,95
83173,Albaterra,Fraccionamiento,Hermosillo,Sonora,Hermosillo,328
